layer,dir,mode,c,n_pairs,P_A_plus,P_A_minus,P_A_zero,swing,ci_lo,ci_hi,mass_plus,mass_minus
20,rand2,contrastive,0.02,120,0.668141616559911,0.5479830811007638,,0.12015853545914723,0.08128611889475319,0.15969512032898087,0.9875000833333334,0.9878954583333334
23,rand2,contrastive,0.02,120,0.6646618103102525,0.5287099294926085,,0.135951880817644,0.09444990096535683,0.1822657804661856,0.9875071666666667,0.9875028333333333
20,rand2,contrastive,0.05,120,0.7185432447291109,0.42165610694118255,,0.2968871377879285,0.23025696599152803,0.36687728797569163,0.9875029166666667,0.9915027916666667
23,rand2,contrastive,0.05,120,0.8207228260887102,0.3027547665949765,,0.5179680594937336,0.44848532972237826,0.5866790632591682,0.9878392083333334,0.9915552083333333
20,rand3,contrastive,0.02,120,0.5823353447712752,0.6283851035530054,,-0.046049758781730184,-0.07708332017462577,-0.01569469031935,0.9875015416666667,0.9875024583333333
23,rand3,contrastive,0.02,120,0.6810446516989909,0.5388553530197168,,0.14218929867927407,0.10316942842458086,0.1828919094546002,0.98750075,0.9876040833333334
20,rand3,contrastive,0.05,120,0.47662432883683614,0.6784136551005263,,-0.2017893262636902,-0.25857964411249795,-0.14618486894514623,0.9911778333333333,0.987921
23,rand3,contrastive,0.05,120,0.759789963191771,0.39063480266191775,,0.3691551605298532,0.30826629882939577,0.43117757942717,0.9875031666666667,0.9899903333333333
20,rand4,contrastive,0.02,120,0.6090674312222865,0.6027385109330441,,0.006328920289242456,-0.029341951889996668,0.03926900782455389,0.9869277083333333,0.9875170833333333
23,rand4,contrastive,0.02,120,0.531298429803013,0.6534012181345351,,-0.12210278833152198,-0.1705980625078856,-0.07529008438823821,0.9875002083333333,0.9913730416666666
20,rand4,contrastive,0.05,120,0.5561944789915987,0.5700984627351992,,-0.01390398374360035,-0.06597006750280654,0.03318553295057843,0.9914367916666667,0.9935132916666667
23,rand4,contrastive,0.05,120,0.33490962491768267,0.7856848487314003,,-0.4507752238137178,-0.5207156260766403,-0.38108528907213574,0.9875081666666666,0.9916668333333334
20,rand5,contrastive,0.02,120,0.5692098301921581,0.6374862235474946,,-0.06827639335533643,-0.10571852401690479,-0.03245113644822602,0.991524125,0.9874993750000001
23,rand5,contrastive,0.02,120,0.6068409087331174,0.567561197327299,,0.039279711405818304,0.005641838635324646,0.07593406817375914,0.987494,0.987500375
20,rand5,contrastive,0.05,120,0.5111099998083931,0.6760656089965884,,-0.16495560918819532,-0.21909161601872604,-0.11158406997579755,0.9916594166666667,0.9875302916666667
23,rand5,contrastive,0.05,120,0.6003496072633304,0.4433500141249006,,0.15699959313842976,0.09632452402274079,0.22004027206553214,0.987519,0.989560875
20,rand6,contrastive,0.02,120,0.6039932048686976,0.6152345178624201,,-0.01124131299372259,-0.04662648546555628,0.024253503560839516,0.9875002916666666,0.9887986249999999
23,rand6,contrastive,0.02,120,0.5624490078257914,0.6456282008553573,,-0.08317919302956582,-0.12541217687756753,-0.04531395213518463,0.9877930833333333,0.9875000833333334
