layer,r_eval,r_train,r_eval_shuffled,alpha,r_proj_eval,n_train,n_eval
42,0.878742291655006,0.9469968430917176,0.17945161551240651,3162.2776601683795,0.8787422917043278,2000,993
43,0.8799694241980106,0.9471159573094039,0.19430106632795416,3162.2776601683795,0.8799694242351882,2000,993
44,0.8800196927383022,0.9481628723096074,0.20113450663797205,3162.2776601683795,0.8800196926827422,2000,993
45,0.8785211080504689,0.948730212813731,0.1848389794055869,3162.2776601683795,0.878521107929145,2000,993
46,0.8774657496406992,0.9484877338276678,0.1928615322037667,3162.2776601683795,0.8774657495626077,2000,993
47,0.876231186999824,0.9486411366854377,0.19387586555583075,3162.2776601683795,0.8762311870416042,2000,993
48,0.8760887376157214,0.9487206017601032,0.2054207320756708,3162.2776601683795,0.8760887376457521,2000,993
49,0.8746567491016689,0.9485392437271049,0.20328238626720715,3162.2776601683795,0.8746567491703033,2000,993
50,0.8741407449809825,0.9493942211173626,0.20550758916213588,3162.2776601683795,0.8741407448554888,2000,993
51,0.8731777517789516,0.9496609978069935,0.21226785524933225,3162.2776601683795,0.8731777517200897,2000,993
52,0.8733718126780667,0.9498400077802267,0.20289051333897046,3162.2776601683795,0.873371812644625,2000,993
53,0.8719034065722258,0.9500543103287793,0.17854239065852906,3162.2776601683795,0.8719034066590395,2000,993
54,0.8715709280985174,0.9499197103571551,0.17726429424929965,3162.2776601683795,0.8715709280896212,2000,993
55,0.8727583938739738,0.948865314431671,0.15582442085345033,3162.2776601683795,0.8727583938668477,2000,993
56,0.870830796980282,0.9487279375142605,0.1511502711542373,3162.2776601683795,0.8708307969531639,2000,993
57,0.869694503778996,0.9495211662303795,0.1463981257440933,3162.2776601683795,0.8696945037065927,2000,993
58,0.8681966804729438,0.9505401282880153,0.13799568729098172,3162.2776601683795,0.8681966803201484,2000,993
59,0.8663496532420352,0.9508681303609409,0.15144509965837405,3162.2776601683795,0.8663496532081221,2000,993
60,0.8691872689505948,0.9513461025483009,0.15287395271895243,3162.2776601683795,0.8691872687491597,2000,993
61,0.8676343401708819,0.9511872141689907,0.14902171649019796,3162.2776601683795,0.8676343403000156,2000,993
